Seq.;Área;Nivel1;Nivel2;Nivel3;Nivel4;Nivel5;Nivel6;CDD;Descrição;;
313;341;;;;;;;341.1356;Empréstimo de guerra;;
314;341;;;;;;;341.136;Diversas espécies de guerra;;
315;341;;;;;;;341.1361;Guerra terrestre ou continental;;
316;341;;;;;;;341.1362;Guerra marítima; Mar territorial, águas territoriais;
317;341;;;;;;;341.13621;Corsários. Pirataria;;
318;341;;;;;;;341.13622;Guerra submarina. Minas submarinas;;
319;341;;;;;;;341.1363;Guerra aérea;;
320;341;;;;;;;341.13631;Pirataria aérea. Seqüestro de aviões;;
321;341;;;;;;;341.1364;Guerra nuclear;;
322;341;;;;;;;341.1365;Guerra química. Guerra bacteriológica;;
323;341;;;;;;;341.1366;Terrorismo;;
324;341;;;;;;;341.137;Convenção durante a guerra. Entrevista. Capitulação. Trégua. Armistício;;
325;341;;;;;;;341.138;Fim da guerra. Volta ao estado de paz;;
326;341;;;;;;;341.1384;Reparação dos danos de guerra. Restituição. Indenizações;;
327;341;;;;;;;341.1385;Bens inimigos. Seqüestro;;
328;341;;;;;;;341.1386;Dívidas inimigas. Liquidação;;
329;341;;;;;;;341.1388;Jurisdições especiais;;
330;341;;;;;;;341.139;Guerra civil;;
14;341;;;;;;;341.14;Direito Penal Internacional;;
331;341;;;;;;;341.14;Direito Penal Internacional;;
332;341;;;;;;;341.141;Infrações de direito comum. Infrações diversas cometidas no estrangeiro ou por estrangeiros. Aplicações da lei penal quanto ao espaço;;
333;341;;;;;;;341.142;Decisões judiciárias estrangeiras em matéria criminal;;
334;341;;;;;;;341.143;Expulsão, deportação de estrangeiros. Refugiados. Direito de asilo;;
335;341;;;;;;;341.144;Extradição de acusados e condenados;;
336;341;;;;;;;341.145;Relações entre tribunais de países diferentes (Processo criminal, cartas rogatórias, execução dos julgados no estrangeiro. Polícia internacional);;
337;341;;;;;;;341.146;Infrações internacionais. Pessoas puníveis. Agentes das infrações;;
338;341;;;;;;;341.1461;Pessoas morais, públicas, coletivas, Estados;;
339;341;;;;;;;341.1462;Pessoas físicas;;
340;341;;;;;;;341.14621;Diplomatas, mandatários públicos, funcionários, militares etc;;
341;341;;;;;;;341.14622;Pessoas privadas (jornalistas, professores etc);;
342;341;;;;;;;341.147;Infrações puníveis;;
343;341;;;;;;;341.1471;Condições gerais de existência;;
344;341;;;;;;;341.1472;Infrações em particular;;
345;341;;;;;;;341.149;Repressão das infrações;;
346;341;;;;;;;341.1491;Penalidades;;
347;341;;;;;;;341.1492;Jurisdições repressivas;;
348;341;;;;;;;341.14921;Nacionais;;
349;341;;;;;;;341.14922;Internacionais;;
350;341;;;;;;;341.15;Crimes contra o Direito internacional;;
351;341;;;;;;;341.151;Crimes contra a humanidade;;
352;341;;;;;;;341.1511;Genocídio;;
353;341;;;;;;;341.1512;Escravidão e tráfico de escravos;;
354;341;;;;;;;341.1513;Tráfico de mulheres;;
355;341;;;;;;;341.1514;Tortura. Tratamento ou castigo cruel e degradante;;
356;341;;;;;;;341.1515;Perseguições sociais, religiosas e raciais;;
357;341;;;;;;;341.1516;Tráfico de entorpecentes;;
358;341;;;;;;;341.152;Crimes contra a paz;;
359;341;;;;;;;341.153;Crimes de guerra;;
360;341;;;;;;;341.16;Arbitragem e jurisdição internacional;;
361;341;;;;;;;341.161;Conflitos, litígios em geral;;
362;341;;;;;;;341.162;Meios amigáveis de terminar os conflitos;;
363;341;;;;;;;341.163;Arbitragem internacional. Justiça arbitral;;
364;341;;;;;;;341.1631;Arbitragem ocasional;;
365;341;;;;;;;341.1632;Arbitragem preventiva;;
366;341;;;;;;;341.16321;Cláusula compromissória especial;;
367;341;;;;;;;341.16322;Cláusula compromissória geral;;
368;341;;;;;;;341.16323;Tratado permanente de arbitragem;;
369;341;;;;;;;341.16328;União arbitral;;
370;341;;;;;;;341.1636;Corte permanente de arbitragem;;
371;341;;;;;;;341.1637;Processo de arbitragem;;
372;341;;;;;;;341.1638;Execução das sentenças. Sanção;;
373;341;;;;;;;341.164;Justiça internacional. Tribunais internacionais;;
374;341;;;;;;;341.1649;Processo internacional. Tribunal Penal Internacional (TPI);;
375;341;;;;;;;341.165;Meios de coação além da guerra;;
376;341;;;;;;;341.1651;Retorsão. Represálias;;
377;341;;;;;;;341.1652;Bloqueio pacífico;;
378;341;;;;;;;341.1653;Boicotagem;;
379;341;;;;;;;341.1654;Rompimento de relações diplomáticas;;
380;341;;;;;;;341.166;Medidas de execução das sentenças: indenizações;;
381;341;;;;;;;341.167;Desarmamento. Paz permanente, durável;;
15;341;;;;;;;341.17;Direito diplomático;;
382;341;;;;;;;341.17;Direito diplomático;;
383;341;;;;;;;341.171;Chefes e representantes dos Estados para as relações exteriores. Agentes diplomáticos em geral;;
384;341;;;;;;;341.172;Deveres e atribuições dos agentes diplomáticos;;
385;341;;;;;;;341.173;Direitos, imunidades, franquias dos agentes diplomáticos;;
386;341;;;;;;;341.174;Início, suspensão e fim da missão diplomática;;
387;341;;;;;;;341.175;Cerimonial diplomático;;
388;341;;;;;;;341.176;Comércio diplomático. Negociações, atos, protocolo etc. Língua comercial;;
389;341;;;;;;;341.178;Agentes equiparados aos agentes diplomáticos;;
390;341;;;;;;;341.1781;Missões diplomáticas extraordinárias. Adidos militares, navais, comerciais, científicos, culturais;;
391;341;;;;;;;341.1782;Funcionários (correios, telégrafos, comércio) em missão;;
392;341;;;;;;;341.1783;Pessoas adidas a órgãos internacionais;;
393;341;;;;;;;341.1785;Forças armadas no estrangeiro em tempo de paz;;
16;341;;;;;;;341.18;Direito consular;;
394;341;;;;;;;341.18;Direito consular;;
395;341;;;;;;;341.181;Cônsules em geral;;
396;341;;;;;;;341.182;Funções e atribuições dos cônsules;;
397;341;;;;;;;341.183;Posição, direitos e imunidades dos cônsules em relação ao país junto ao qual estão acreditados;;
398;341;;;;;;;341.185;Convenções consulares;;
17;341;;;;;;;341.2;DIREITO CONSTITUCIONAL;;
399;341;;;;;;;341.2;DIREITO CONSTITUCIONAL;;
400;341;;;;;;;341.201;Teoria do Estado;;
401;341;;;;;;;341.2011;Origem do Estado;;
402;341;;;;;;;341.202;Controle de Constitucionalidade;;
